(58.227.133.60:3310, 227.176.178.135:17712, 0) x 368
(59.162.94.66:8097, 0.149.41.202:60295, 0) x 2
(74.146.61.191:36207, 196.182.226.8:26825, 0) x 2
(92.169.250.12:45396, 246.239.16.31:62065, 0) x 2
(122.90.173.56:59815, 105.84.112.244:30884, 0) x 2
(178.150.17.237:7355, 212.49.34.100:60207, 0) x 2
(130.91.166.245:23095, 208.43.217.201:35518, 0) x 2
(10.32.182.167:48183, 147.235.117.28:11639, 0) x 2
(125.101.103.9:48784, 41.227.248.6:5856, 0) x 2
(92.161.217.32:40503, 4.31.145.21:9158, 0) x 2
(188.249.7.47:19264, 76.81.88.66:5665, 0) x 2
(84.180.21.237:45411, 161.215.114.15:59239, 0) x 2
(138.130.133.6:61143, 72.5.161.33:4877, 0) x 2
(170.150.187.237:61212, 17.162.56.44:52352, 0) x 2
(24.154.85.158:60907, 23.150.146.12:17373, 0) x 2
(232.122.246.204:47301, 239.5.34.210:49325, 0) x 2
(212.159.54.43:35306, 132.205.90.111:39665, 0) x 2
(238.133.43.42:16213, 248.12.204.169:48601, 0) x 2
(110.4.125.84:39839, 47.25.36.241:22074, 0) x 2
(134.137.71.122:23790, 96.150.84.245:8835, 0) x 2
(132.56.189.123:32750, 95.101.166.176:13368, 0) x 2
(179.1.135.148:28905, 155.48.207.235:62030, 0) x 2
(254.49.190.197:43306, 220.154.25.25:19120, 0) x 2
(254.65.151.172:62897, 130.78.92.158:27418, 0) x 2
(134.180.171.90:56540, 85.165.204.203:26853, 0) x 2
(57.170.180.250:19607, 141.5.51.183:16668, 0) x 2
(83.53.193.155:2294, 156.0.255.160:20480, 0) x 2
(182.87.67.56:51371, 144.209.217.77:29745, 0) x 2
(219.251.212.213:52018, 77.243.3.180:10787, 0) x 2
(53.226.62.27:11351, 233.223.100.124:56311, 0) x 2
(251.240.44.129:61451, 183.165.89.71:33209, 0) x 2
(79.116.247.167:59938, 222.148.144.147:22913, 0) x 2
(164.28.46.69:62253, 4.9.16.68:45667, 0) x 2
(106.22.174.14:48120, 153.71.84.136:4409, 0) x 2
(165.112.144.150:32221, 163.58.61.177:33656, 0) x 2
(122.26.107.80:18673, 50.69.185.25:55134, 0) x 2
(177.33.221.43:10557, 2.105.105.174:36026, 0) x 2
(190.40.72.176:55022, 66.126.73.126:40248, 0) x 2
(161.177.179.218:23739, 216.182.113.220:4144, 0) x 2
(83.212.207.72:23319, 214.80.239.134:23445, 0) x 2
(176.202.228.0:27163, 96.230.25.120:46664, 0) x 2
(168.158.38.235:55176, 173.16.101.36:52608, 0) x 2
(10.39.247.114:50833, 67.128.54.202:57755, 0) x 2
(84.215.175.251:23926, 63.6.134.175:59614, 0) x 2
(104.31.211.228:21043, 10.103.12.200:36079, 0) x 2
(221.233.137.211:20965, 154.166.194.97:41716, 0) x 2
(128.43.118.201:45610, 7.184.152.45:28697, 0) x 2
(179.174.149.86:7728, 187.106.88.99:59827, 0) x 2
(58.32.87.216:48005, 155.230.42.194:62362, 0) x 2
(175.194.58.214:7030, 121.3.29.236:11058, 0) x 2
(131.119.185.244:21435, 180.115.23.128:58322, 0) x 2
(202.71.145.222:33991, 109.47.84.215:26303, 0) x 2
(233.65.212.29:36550, 202.24.45.145:23434, 0) x 2
(43.118.149.222:2590, 68.238.10.14:33810, 0) x 2
(54.74.76.215:2808, 221.2.35.247:15991, 0) x 2
(43.66.162.107:65427, 79.113.7.10:15002, 0) x 2
(43.104.118.175:23270, 46.210.193.115:35780, 0) x 2
(100.157.128.208:45930, 211.106.15.113:5557, 0) x 2
(91.174.75.197:46176, 105.47.107.111:54158, 0) x 2
(158.174.198.202:3598, 169.131.98.255:5318, 0) x 2
(198.230.28.20:13210, 253.78.1.91:41616, 0) x 2
(176.12.164.189:43808, 109.6.90.243:33835, 0) x 2
(32.90.47.114:26497, 159.56.224.71:49716, 0) x 2
(33.229.137.193:4510, 246.93.246.111:22273, 0) x 2
(225.199.119.137:12182, 234.133.85.10:50920, 0) x 2
(48.4.23.109:14326, 12.25.28.254:46523, 0) x 2
(87.221.14.148:10301, 197.223.53.95:4451, 0) x 2
(142.230.126.128:10541, 136.6.1.38:17442, 0) x 2
(99.253.232.108:46837, 214.189.104.147:38291, 0) x 2
(48.114.202.103:4059, 105.27.55.247:15769, 0) x 2
(240.123.121.215:7481, 172.97.143.231:13107, 0) x 2
(134.161.126.166:47773, 82.231.10.216:61685, 0) x 2
(88.110.42.248:26122, 75.33.50.186:31467, 0) x 2
(69.137.178.68:2033, 214.14.187.23:30120, 0) x 2
(136.143.151.1:16748, 168.113.105.1:27704, 0) x 2
(198.201.34.191:43912, 116.243.113.42:15379, 0) x 2
(46.148.191.158:44971, 204.126.53.16:60153, 0) x 2
(20.174.197.255:19959, 136.192.18.1:6368, 0) x 2
(18.213.241.139:36759, 143.235.72.46:12341, 0) x 2
(96.153.98.125:9978, 23.203.57.44:55435, 0) x 2
(135.157.1.160:63214, 67.61.157.110:47687, 0) x 2
(22.224.66.241:48084, 230.103.67.23:7434, 0) x 2
(196.70.0.183:4320, 214.45.94.117:18811, 0) x 2
(223.217.98.34:7265, 136.201.60.68:55291, 0) x 2
(108.39.29.76:64045, 129.20.224.83:56651, 0) x 2
(160.232.13.44:49661, 138.144.254.55:39710, 0) x 2
(119.63.234.112:49364, 165.34.139.153:62382, 0) x 2
(214.253.18.6:1308, 138.152.13.79:50556, 0) x 2
(78.186.135.250:32678, 223.102.236.69:18035, 0) x 2
(153.235.7.52:64386, 192.212.101.228:41016, 0) x 2
(151.239.129.16:33557, 185.89.156.108:16378, 0) x 2
(31.172.20.246:431, 72.198.238.29:12158, 0) x 2
(66.6.96.48:53810, 116.120.187.105:25059, 0) x 2
(36.34.6.219:46979, 145.124.66.62:57575, 0) x 2
(88.126.32.41:54881, 133.210.73.225:38981, 0) x 2
(213.73.160.207:12063, 145.120.106.57:59137, 0) x 2
(167.100.151.213:12484, 107.143.205.74:33357, 0) x 2
(161.96.167.179:50308, 16.202.48.181:62779, 0) x 2
(68.146.216.40:30037, 96.231.65.237:55198, 0) x 2
(37.132.198.71:1184, 238.221.111.146:30907, 0) x 2
(236.103.108.34:44469, 248.30.234.50:49562, 0) x 2
(38.120.225.204:11766, 235.239.105.153:40798, 0) x 2
(78.124.138.7:65238, 184.204.231.144:47264, 0) x 2
(255.121.30.237:26833, 65.3.62.243:14227, 0) x 2
(68.114.191.134:17644, 171.169.252.215:35990, 0) x 2
(1.84.102.249:49051, 118.31.63.169:25049, 0) x 2
(63.42.117.125:36344, 153.43.33.32:62040, 0) x 2
(52.210.76.184:16748, 232.6.126.83:63650, 0) x 2
(51.2.59.174:345, 238.223.184.36:16027, 0) x 2
(125.32.64.144:27737, 50.199.74.51:31240, 0) x 2
(162.8.246.48:62749, 28.142.228.201:62159, 0) x 2
(177.85.110.160:17044, 143.169.198.108:26381, 0) x 2
(89.113.187.195:33953, 24.107.123.168:13548, 0) x 2
(174.34.144.12:26205, 150.84.71.51:45588, 0) x 2
(179.63.159.254:9514, 205.31.99.54:44131, 0) x 2
(166.130.87.210:6834, 203.26.137.224:37271, 0) x 2
(112.137.130.90:27905, 163.236.213.12:29245, 0) x 2
(214.225.188.117:53518, 104.120.26.196:54318, 0) x 2
(50.82.160.75:20613, 23.104.61.237:55921, 0) x 2
(9.46.174.213:17085, 81.143.154.156:39481, 0) x 2
(97.108.161.159:37094, 211.12.156.27:48268, 0) x 2
(13.177.162.64:42246, 225.0.234.179:15252, 0) x 2
(49.1.212.121:28342, 46.40.149.218:38867, 0) x 2
(89.226.207.143:7511, 36.242.22.133:6746, 0) x 2
(53.78.92.65:4782, 207.82.60.60:27689, 0) x 2
(91.205.250.33:20836, 195.214.176.220:30404, 0) x 2
(13.122.200.189:53601, 175.4.119.190:30181, 0) x 2
(196.42.176.58:36484, 239.197.243.86:34242, 0) x 2
(132.214.154.93:23625, 195.231.159.8:3633, 0) x 2
(61.236.251.23:64917, 212.191.242.105:54663, 0) x 2
(92.103.151.81:61134, 61.82.220.249:49882, 0) x 2
(165.128.139.140:990, 107.55.0.54:9630, 0) x 2
(149.197.104.136:21573, 141.13.197.127:33449, 0) x 2
(101.43.57.114:50284, 31.104.65.57:33021, 0) x 2
(174.213.166.140:606, 2.64.17.184:38361, 0) x 2
(214.221.236.107:37895, 52.200.173.95:30378, 0) x 2
(29.219.98.26:11596, 115.174.121.120:21813, 0) x 2
(215.221.166.61:46516, 193.35.199.153:10493, 0) x 2
(82.1.207.153:8146, 250.61.1.172:5241, 0) x 2
(213.16.30.80:61139, 154.201.226.145:47718, 0) x 2
(226.37.69.248:50713, 59.17.230.230:54519, 0) x 2
(119.122.104.176:17422, 251.124.238.199:18645, 0) x 2
(187.136.141.64:2454, 255.240.204.101:12487, 0) x 2
(61.153.199.83:65477, 46.252.212.64:43401, 0) x 2
(77.125.67.101:21579, 151.239.170.205:38436, 0) x 2
(43.92.15.61:18070, 225.239.141.61:1413, 0) x 2
(79.245.79.162:55864, 72.28.46.102:63844, 0) x 2
(171.77.104.70:17103, 168.85.228.112:51558, 0) x 2
(105.167.144.92:54484, 1.255.188.110:14037, 0) x 2
(101.95.232.240:32346, 150.62.255.217:45849, 0) x 2
(51.142.244.250:15326, 104.185.182.159:43035, 0) x 2
(235.232.194.255:24488, 93.38.97.156:3537, 0) x 2
(88.189.62.213:10399, 94.198.213.107:8229, 0) x 2
(142.139.85.190:3792, 44.18.63.89:27705, 0) x 2
(67.47.84.119:25215, 101.100.24.219:12013, 0) x 2
(137.190.74.180:24551, 147.219.109.235:3399, 0) x 2
(148.187.164.153:53676, 187.240.255.204:48352, 0) x 2
(64.149.15.181:41338, 26.187.202.154:42107, 0) x 2
(220.219.183.236:23785, 92.162.6.242:38095, 0) x 2
(214.162.220.94:22002, 3.139.29.187:62631, 0) x 2
(95.191.64.221:59002, 63.38.247.128:7569, 0) x 2
(220.4.136.114:41575, 188.72.47.156:10893, 0) x 2
(224.45.253.68:15600, 167.38.115.215:40364, 0) x 2
(72.28.35.56:62973, 19.73.229.11:46127, 0) x 2
(44.216.58.193:48087, 162.249.133.118:42380, 0) x 2
(140.166.9.110:48893, 11.83.64.142:20523, 0) x 2
(201.213.253.6:55462, 219.88.134.16:37796, 0) x 2
(224.52.159.139:18330, 158.118.176.109:58776, 0) x 2
(152.46.205.221:4164, 81.142.36.193:28821, 0) x 2
(234.55.111.64:1158, 217.102.47.202:47804, 0) x 2
(79.148.48.22:38385, 62.17.59.193:29205, 0) x 2
(71.35.6.27:31135, 126.95.106.2:6764, 0) x 2
(62.108.112.185:59655, 81.58.219.177:51001, 0) x 2
(36.127.122.198:48264, 219.179.137.147:7416, 0) x 2
(228.182.2.191:12907, 137.16.102.197:6837, 0) x 2
(202.60.161.203:792, 79.24.251.180:18886, 0) x 2
(28.21.174.163:1933, 217.45.88.85:13691, 0) x 2
(243.252.18.53:11223, 230.182.64.230:50598, 0) x 2
(102.148.68.214:57086, 192.202.171.54:39124, 0) x 2
(49.147.114.147:52054, 223.222.83.253:52609, 0) x 2
(249.180.139.223:49366, 82.34.107.124:12004, 0) x 2
(182.173.168.126:21555, 155.70.170.252:43603, 0) x 2
(151.49.89.138:12739, 196.203.219.237:14951, 0) x 2
(177.17.37.93:13901, 31.137.12.89:21642, 0) x 2
(167.122.166.147:8325, 190.53.18.58:45346, 0) x 2
(98.166.187.73:14715, 26.122.96.144:36330, 0) x 2
(200.21.73.16:52141, 59.21.68.68:53320, 0) x 2
(87.41.189.138:55104, 38.197.254.238:17277, 0) x 2
(134.60.134.247:7352, 89.5.43.124:52328, 0) x 2
(147.116.246.51:56205, 21.213.131.71:15018, 0) x 2
(237.208.90.44:44347, 52.48.60.68:2650, 0) x 2
(197.234.13.51:58888, 25.182.243.190:30171, 0) x 2
(127.164.147.198:58900, 166.107.139.165:15644, 0) x 2
(38.30.238.44:46188, 246.132.165.241:46178, 0) x 2
(248.193.127.173:33418, 11.121.81.139:27092, 0) x 2
(117.55.61.254:36742, 160.226.150.191:29410, 0) x 2
(76.21.0.42:11375, 147.160.237.255:617, 0) x 2
(206.142.124.195:60388, 133.24.118.125:41920, 0) x 2
(234.75.187.88:21569, 150.104.147.215:27408, 0) x 2
(165.72.49.115:25675, 110.201.187.237:20209, 0) x 2
(194.217.127.45:47849, 72.159.137.34:41577, 0) x 2
(69.27.62.5:44082, 203.4.40.69:59856, 0) x 2
(216.128.72.199:39352, 240.130.94.119:14366, 0) x 2
(87.66.18.111:55606, 18.197.194.126:18005, 0) x 2
(158.49.95.85:24467, 15.50.90.63:8201, 0) x 2
(50.52.103.84:113, 109.242.129.13:15245, 0) x 2
(34.194.240.10:583, 168.168.71.248:11807, 0) x 2
(115.136.193.135:19952, 176.232.73.168:23644, 0) x 2
(254.147.99.209:31854, 139.173.136.139:57499, 0) x 2
(110.174.211.179:46144, 65.243.27.255:39773, 0) x 2
(208.69.7.227:14450, 168.35.33.60:65495, 0) x 2
(226.28.118.235:33708, 73.95.148.74:57420, 0) x 2
(21.14.58.128:23210, 63.38.218.27:40190, 0) x 2
(133.125.11.61:20767, 94.169.120.48:52163, 0) x 2
(225.95.228.206:59562, 129.12.5.149:11197, 0) x 2
(209.152.46.153:57371, 207.251.229.235:28969, 0) x 2
(185.142.203.102:27261, 210.3.126.57:2551, 0) x 2
(4.54.70.80:23869, 130.136.197.192:56307, 0) x 2
(40.117.113.133:39560, 208.226.124.234:28494, 0) x 2
(20.114.233.234:13301, 220.98.233.26:25335, 0) x 2
(32.251.134.136:22188, 52.222.203.136:44275, 0) x 2
(10.136.169.115:46427, 72.134.43.127:65506, 0) x 2
(215.156.218.37:9385, 2.189.176.144:35710, 0) x 2
(8.175.152.94:45874, 143.105.66.41:48441, 0) x 2
(186.27.218.39:36542, 40.201.188.150:32517, 0) x 2
(102.98.194.77:39524, 166.163.52.11:34749, 0) x 2
(239.213.205.242:32119, 171.3.65.36:39029, 0) x 2
(155.88.105.187:63466, 216.232.87.186:25524, 0) x 2
(185.192.126.81:31668, 117.110.138.114:22507, 0) x 2
(154.74.126.146:3385, 233.88.238.188:15483, 0) x 2
(45.250.61.171:27084, 145.66.74.167:61778, 0) x 2
(137.50.203.176:53959, 134.53.199.215:47877, 0) x 2
(218.209.219.155:57058, 168.118.8.24:7605, 0) x 2
(14.165.156.110:23180, 207.6.13.214:26592, 0) x 2
(183.225.203.126:4647, 221.253.84.229:53823, 0) x 2
(204.52.183.193:11468, 200.185.168.6:3041, 0) x 2
(189.156.166.136:19169, 242.246.133.83:65267, 0) x 2
(227.3.129.116:36616, 3.75.103.108:41207, 0) x 2
(6.103.119.114:24421, 121.69.175.208:13158, 0) x 2
(123.114.122.103:59154, 118.100.244.71:57142, 0) x 2
(251.37.190.125:19822, 111.215.185.107:45148, 0) x 2
(12.56.78.124:14254, 183.114.143.57:61878, 0) x 2
(92.22.156.4:53134, 38.17.84.15:30180, 0) x 2
(241.160.32.120:63671, 238.196.32.3:51294, 0) x 2
(82.101.212.119:49012, 126.179.121.31:25780, 0) x 2
(237.33.227.67:63341, 46.55.81.32:32328, 0) x 2
(205.241.126.158:19032, 197.46.5.107:54625, 0) x 2
(205.62.133.206:11538, 65.183.239.152:16334, 0) x 2
(180.91.53.43:10356, 214.33.205.207:46319, 0) x 2
(23.123.241.192:13312, 102.59.138.76:8299, 0) x 2
(182.51.4.213:55014, 118.64.67.185:13653, 0) x 2
(5.227.167.184:52142, 188.146.31.137:42967, 0) x 2
(28.223.191.116:41127, 135.190.82.239:13635, 0) x 2
(239.171.182.47:31766, 184.140.194.101:14663, 0) x 2
(36.89.44.255:19734, 190.117.52.39:32796, 0) x 2
(61.171.73.21:50098, 255.207.79.86:27192, 0) x 2
(172.132.69.177:4241, 152.221.13.57:18813, 0) x 2
(224.14.74.51:46097, 151.101.163.193:2428, 0) x 2
(119.171.181.160:45450, 98.232.169.249:731, 0) x 2
(148.15.21.23:50770, 117.142.20.252:50963, 0) x 2
(93.13.220.112:5672, 68.240.200.39:15226, 0) x 2
(100.130.25.41:51139, 202.42.195.224:36982, 0) x 2
(80.15.179.249:61677, 40.18.92.163:26287, 0) x 2
(132.34.132.202:12410, 30.85.132.152:39049, 0) x 2
(86.233.28.39:42733, 193.249.181.83:62328, 0) x 2
(187.132.207.233:37386, 106.230.46.233:33202, 0) x 2
(109.66.27.19:3261, 76.72.186.251:42213, 0) x 2
(41.232.154.223:16317, 201.70.245.107:5661, 0) x 2
(3.83.10.183:34750, 141.128.138.101:58187, 0) x 2
(165.57.116.108:35911, 66.163.235.5:4321, 0) x 2
(145.216.203.111:60843, 94.143.188.53:41567, 0) x 2
(83.118.167.5:43836, 53.66.77.201:15659, 0) x 2
(172.47.39.20:1556, 178.55.177.12:34479, 0) x 2
(35.234.50.151:38746, 49.213.39.194:51630, 0) x 2
(204.153.215.153:1887, 203.215.217.222:44215, 0) x 2
(144.217.17.200:1355, 211.120.203.98:30928, 0) x 2
(36.130.80.188:1793, 56.78.118.137:10070, 0) x 2
(6.242.177.92:54369, 240.31.94.250:49564, 0) x 2
(167.8.254.138:59032, 226.165.124.207:60509, 0) x 2
(223.253.19.154:53979, 106.13.247.9:57068, 0) x 2
(222.34.165.253:31095, 124.34.160.243:64999, 0) x 2
(93.58.3.77:59443, 237.131.180.40:54519, 0) x 2
(61.55.155.51:41177, 176.25.164.37:57032, 0) x 2
(231.57.184.34:7401, 218.219.213.166:44406, 0) x 2
(225.200.42.130:7425, 84.156.224.191:17104, 0) x 2
(117.51.126.154:30757, 245.32.154.219:14036, 0) x 2
(216.92.170.210:7876, 98.240.217.103:48365, 0) x 2
(83.219.77.34:17495, 152.120.144.8:43492, 0) x 2
(175.67.249.152:15363, 104.163.233.191:54575, 0) x 2
(17.245.151.167:16734, 69.64.26.215:6009, 0) x 2
(23.154.117.248:10778, 22.97.12.71:12791, 0) x 2
(221.170.58.4:51183, 245.76.2.0:48730, 0) x 2
(246.233.33.91:31284, 83.246.222.167:140, 0) x 2
(77.82.168.196:62781, 70.206.75.173:12642, 0) x 2
(177.130.143.131:5950, 188.38.104.229:1344, 0) x 2
(40.38.54.224:3015, 209.99.115.68:52455, 0) x 2
(5.28.231.147:60299, 76.14.64.45:48713, 0) x 2
(79.110.209.216:19214, 255.26.158.23:23627, 0) x 2
(100.21.249.85:62144, 246.128.63.188:37267, 0) x 2
(175.9.106.143:23992, 61.202.11.106:19159, 0) x 2
(82.128.31.204:21735, 223.84.150.227:16321, 0) x 2
(109.213.164.141:46361, 86.83.171.115:64468, 0) x 2
(46.156.242.35:25919, 202.57.80.11:51965, 0) x 2
(234.224.244.22:29560, 107.168.86.137:51024, 0) x 2
(183.253.76.76:7879, 169.102.203.59:24455, 0) x 2
(70.53.82.9:38817, 193.131.29.157:64994, 0) x 2
(190.143.1.83:1860, 183.88.135.223:29379, 0) x 2
(101.101.179.78:22656, 15.239.211.72:24469, 0) x 2
(191.142.66.94:20336, 80.173.67.213:8177, 0) x 2
(151.219.85.169:5887, 252.205.27.93:45134, 0) x 2
(19.70.5.241:45692, 127.16.173.216:46728, 0) x 2
(22.200.124.27:63414, 47.182.9.15:21445, 0) x 2
(11.25.29.244:57932, 33.139.153.107:49136, 0) x 2
(96.139.222.205:27677, 91.156.3.235:17233, 0) x 2
(25.113.11.188:39418, 87.189.37.106:22442, 0) x 2
(132.193.58.1:35408, 202.255.249.149:14339, 0) x 2
(82.183.78.228:26676, 96.223.184.26:35546, 0) x 2
(56.39.239.95:17197, 235.78.24.20:61695, 0) x 2
(252.90.9.255:40980, 82.205.59.247:57151, 0) x 2
(191.68.89.10:748, 144.44.168.186:5029, 0) x 2
(64.178.203.142:63285, 194.28.204.5:5281, 0) x 2
(10.55.156.63:20922, 75.75.201.144:5490, 0) x 2
(134.95.87.89:9485, 110.111.121.134:50015, 0) x 2
(173.36.9.60:6134, 253.35.36.135:13251, 0) x 2
(2.150.147.169:15445, 182.106.35.87:4920, 0) x 2
(152.101.252.109:46603, 43.194.2.214:27416, 0) x 2
(108.190.177.116:5785, 194.70.135.192:51638, 0) x 2
(170.133.26.105:7836, 240.204.134.127:24027, 0) x 2
(135.217.159.32:62840, 184.188.32.181:58365, 0) x 2
(20.27.200.175:15156, 92.234.244.98:39670, 0) x 2
(243.170.42.40:55293, 99.85.253.194:9505, 0) x 2
(238.190.209.221:62423, 62.3.112.129:42058, 0) x 2
(50.156.29.248:39320, 81.175.4.243:43380, 0) x 2
(228.252.131.25:21751, 236.65.223.208:25770, 0) x 2
(80.59.47.225:15551, 186.181.121.176:34798, 0) x 2
(49.16.243.67:53040, 150.52.38.213:18194, 0) x 2
(249.245.155.207:30269, 55.208.133.128:4273, 0) x 2
(187.164.231.216:55491, 52.154.141.54:6187, 0) x 2
(126.3.191.251:56872, 222.193.66.176:53877, 0) x 2
(0.65.235.214:59841, 126.149.191.49:30549, 0) x 2
(245.168.216.178:18425, 162.100.149.62:63315, 0) x 2
(239.224.179.180:30074, 130.201.204.183:14705, 0) x 2
(76.179.33.148:3482, 251.55.125.65:25665, 0) x 2
(174.11.153.57:58074, 16.219.15.253:64227, 0) x 2
(68.14.12.43:30858, 142.121.235.177:34216, 0) x 2
(116.195.169.244:35226, 31.187.125.232:51634, 0) x 2
(23.199.163.5:14538, 238.129.168.203:50740, 0) x 2
(86.151.110.35:1925, 244.193.109.105:63067, 0) x 2
(239.85.252.214:10493, 92.71.188.167:14357, 0) x 2
(16.221.36.211:45461, 251.77.226.192:48952, 0) x 2
(25.240.108.227:9726, 215.179.172.44:5068, 0) x 2
(3.70.154.207:45328, 18.54.180.18:50663, 0) x 2
(129.76.103.46:54800, 252.248.104.163:52394, 0) x 2
(16.140.133.148:50338, 246.70.90.221:43865, 0) x 2
(173.248.35.254:45545, 88.66.42.37:50070, 0) x 2
(91.83.165.174:50038, 137.220.87.185:50256, 0) x 2
(29.231.189.222:15915, 50.159.99.188:35314, 0) x 2
(152.175.106.10:34301, 248.99.116.247:38937, 0) x 2
(65.73.138.243:17396, 103.92.24.32:43795, 0) x 2
(17.162.8.240:59176, 243.86.87.209:59250, 0) x 2
(206.46.31.46:53665, 253.175.95.125:43351, 0) x 2
(167.227.122.78:62204, 17.97.110.193:63238, 0) x 2
(79.183.145.98:27024, 86.197.35.228:53191, 0) x 2
(94.32.186.37:19549, 214.241.83.166:57286, 0) x 2
(211.142.180.149:50986, 72.78.139.104:4124, 0) x 2
(240.137.170.101:60246, 137.214.121.212:6988, 0) x 2
(238.246.43.208:15985, 254.4.128.153:65045, 0) x 2
(204.133.166.24:59677, 124.88.109.178:55557, 0) x 2
(3.153.139.65:63561, 19.14.149.221:51511, 0) x 2
(163.175.97.25:59380, 177.41.201.55:16476, 0) x 2
(20.222.236.80:11444, 49.12.162.222:38775, 0) x 2
(68.53.31.82:9549, 25.248.112.83:55525, 0) x 2
(65.196.120.96:20187, 116.191.133.209:54939, 0) x 2
(214.226.146.166:43480, 165.72.138.76:41369, 0) x 2
(86.129.228.47:27548, 33.51.211.138:13726, 0) x 2
(30.104.225.117:32278, 68.221.125.55:40975, 0) x 2
(145.52.176.113:47301, 165.121.101.9:7847, 0) x 2
(60.225.190.94:25488, 111.117.147.180:14830, 0) x 2
(163.57.16.9:8497, 116.1.16.27:34448, 0) x 2
(86.149.68.33:55476, 146.110.88.144:57401, 0) x 2
(255.174.180.136:11699, 151.162.111.87:53904, 0) x 2
(172.116.221.229:64090, 247.192.190.44:40177, 0) x 2
(64.235.34.175:54302, 231.34.218.25:60964, 0) x 2
(232.93.161.136:2708, 32.32.61.235:31460, 0) x 2
(198.173.242.43:53897, 150.211.23.209:37016, 0) x 2
(17.22.153.253:18634, 130.83.122.191:17961, 0) x 2
(195.67.75.111:40422, 122.127.21.234:53634, 0) x 2
(164.244.74.212:18474, 223.45.133.224:43734, 0) x 2
(230.226.235.41:43547, 152.191.18.14:31073, 0) x 2
(248.210.218.142:16476, 36.59.218.2:46611, 0) x 2
(239.228.58.5:42202, 175.71.189.108:36843, 0) x 2
(132.60.95.10:58648, 172.105.122.215:17931, 0) x 2
(227.222.223.168:20872, 108.204.45.2:53489, 0) x 2
(131.171.8.85:37428, 152.243.142.169:24740, 0) x 2
(24.255.108.208:56664, 74.198.21.170:47750, 0) x 2
(100.124.66.85:47737, 194.68.161.241:43368, 0) x 2
(43.76.72.228:21839, 78.14.58.147:47218, 0) x 2
(12.16.244.66:34966, 87.3.177.110:5135, 0) x 2
(92.225.189.201:59797, 46.165.73.4:4208, 0) x 2
(220.171.135.235:38452, 251.124.131.202:23785, 0) x 2
(97.55.31.142:13887, 91.91.26.76:28808, 0) x 2
(37.6.46.176:57960, 102.69.60.33:56691, 0) x 2
(125.64.77.179:46561, 85.242.144.255:3685, 0) x 2
(89.197.45.55:7922, 79.194.103.31:408, 0) x 2
(8.150.67.102:55652, 249.254.27.153:41379, 0) x 2
(72.115.230.108:8207, 50.132.22.251:42128, 0) x 2
(164.21.18.246:3498, 237.176.158.232:44692, 0) x 2
(200.106.109.3:47459, 152.164.238.19:13533, 0) x 2
(68.58.101.90:17320, 169.58.232.141:28273, 0) x 2
(246.85.134.89:10331, 105.138.122.59:44093, 0) x 2
(167.153.216.238:911, 227.69.115.234:9074, 0) x 2
(160.85.167.126:17355, 103.18.40.211:24891, 0) x 2
(13.151.82.178:42089, 238.217.39.203:22339, 0) x 2
(227.213.128.16:42073, 25.206.223.78:27185, 0) x 2
(136.38.254.97:25509, 165.192.146.221:21000, 0) x 2
(252.141.212.71:4150, 0.154.35.145:8275, 0) x 2
(39.200.127.133:27029, 89.54.109.234:14984, 0) x 2
(62.14.101.133:25701, 91.81.10.65:27531, 0) x 2
(12.69.77.202:22158, 255.206.1.213:54814, 0) x 2
(77.34.70.84:22231, 35.247.135.86:58571, 0) x 2
(156.65.102.183:44532, 248.101.19.166:64961, 0) x 2
(45.245.217.85:59498, 142.2.201.127:58716, 0) x 2
(167.143.248.221:58808, 129.139.101.233:25514, 0) x 2
(192.240.250.125:15296, 71.72.217.49:33319, 0) x 2
(130.93.244.41:53554, 162.83.220.183:61415, 0) x 2
(36.244.156.229:8546, 47.104.99.247:15127, 0) x 2
(59.89.188.54:51602, 197.166.138.109:47869, 0) x 2
(103.10.105.139:28813, 202.234.90.247:12871, 0) x 2
(25.14.50.119:34940, 67.63.133.96:6883, 0) x 2
(244.252.15.98:56431, 30.21.185.101:32650, 0) x 2
(18.20.43.239:1727, 246.172.58.103:4026, 0) x 2
(16.80.21.113:15944, 147.136.215.53:11671, 0) x 2
(116.25.76.184:18755, 157.107.89.27:56937, 0) x 2
(72.228.244.8:33241, 164.135.230.110:63901, 0) x 2
(39.173.245.33:63826, 34.211.13.69:54276, 0) x 2
(64.112.165.207:49287, 123.199.127.98:7245, 0) x 2
(143.227.190.247:1318, 105.178.152.18:64231, 0) x 2
(110.30.220.112:14397, 84.221.199.239:8796, 0) x 2
(194.214.221.210:23691, 47.162.206.42:41210, 0) x 2
(121.105.198.37:36466, 126.30.55.229:48240, 0) x 2
(110.216.93.141:9683, 88.36.168.135:13857, 0) x 2
(248.43.67.44:64119, 60.235.37.178:119, 0) x 2
(103.188.217.117:1799, 169.12.55.122:27635, 0) x 2
(244.15.185.161:58907, 124.191.145.17:36819, 0) x 2
(55.163.219.41:46743, 122.153.151.144:57454, 0) x 2
(53.48.147.243:61917, 218.0.170.3:11744, 0) x 2
(244.128.93.195:22007, 31.206.24.189:61777, 0) x 2
(43.105.97.121:8912, 181.178.135.195:10570, 0) x 2
(178.155.128.59:10504, 172.180.229.46:32130, 0) x 2
(128.28.84.25:23095, 60.74.203.175:582, 0) x 2
(67.36.128.147:2622, 111.55.41.55:53929, 0) x 2
(131.52.75.77:21991, 9.162.159.158:175, 0) x 2
